dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.187500,-35.000000,0.001370,0.136957,6.847826,342.391304,1.570796
0.020000,13.187500,-35.000000,0.001370,0.000000,-6.847826,-684.782609,1.570796
0.020000,13.187500,-35.000000,0.001370,0.000000,0.000000,342.391304,1.570796
0.020000,13.187500,-35.000000,0.001370,0.000000,0.000000,0.000000,1.570796
0.020000,13.187500,-35.000000,0.001370,0.000000,0.000000,0.000000,1.570796
0.020000,13.187500,-34.969739,0.031630,1.513043,75.652174,3782.608696,1.570796
0.020000,13.187500,-34.908109,0.093261,3.081522,78.423913,138.586957,1.570796
0.020000,13.187500,-34.832783,0.168587,3.766304,34.239130,-2209.239130,1.570796
0.020000,13.187500,-34.743761,0.257609,4.451087,34.239130,0.000000,1.570796
0.020000,13.187500,-34.641043,0.360326,5.135870,34.239130,-0.000000,1.570796
0.020000,13.187500,-34.524630,0.476739,5.820652,34.239130,0.000000,1.570796
0.020000,13.187500,-34.394522,0.606848,6.505435,34.239130,0.000000,1.570796
0.020000,13.187500,-34.250717,0.750652,7.190217,34.239130,-0.000000,1.570796
0.020000,13.187500,-34.093217,0.908152,7.875000,34.239130,0.000000,1.570796
0.020000,13.187500,-33.922022,1.079348,8.559783,34.239130,0.000000,1.570796
0.020000,13.187500,-33.737130,1.264239,9.244565,34.239130,0.000000,1.570796
0.020000,13.187500,-33.538543,1.462826,9.929348,34.239130,-0.000000,1.570796
0.020000,13.187500,-33.326261,1.675109,10.614130,34.239130,0.000000,1.570796
0.020000,13.187500,-33.100283,1.901087,11.298913,34.239130,0.000000,1.570796
0.020000,13.187500,-32.860609,2.140761,11.983696,34.239130,-0.000000,1.570796
0.020000,13.187500,-32.607239,2.394130,12.668478,34.239130,0.000000,1.570796
0.020000,13.187500,-32.340174,2.661196,13.353261,34.239130,0.000000,1.570796
0.020000,13.187500,-32.059413,2.941957,14.038043,34.239130,-0.000000,1.570796
0.020000,13.187500,-31.766326,3.235043,14.654348,30.815217,-171.195652,1.570796
0.020000,13.187500,-31.463652,3.537717,15.133696,23.967391,-342.391304,1.570796
0.020000,13.187500,-31.154130,3.847239,15.476087,17.119565,-342.391304,1.570796
0.020000,13.187500,-30.840500,4.160870,15.681522,10.271739,-342.391304,1.570796
0.020000,13.187500,-30.525500,4.475870,15.750000,3.423913,-342.391304,1.570796
0.020000,13.187500,-30.210500,4.790870,15.750000,-0.000000,-171.195652,1.570796
0.020000,13.187500,-29.895500,5.105870,15.750000,0.000000,0.000000,1.570796
0.020000,13.187500,-29.580500,5.420870,15.750000,0.000000,-0.000000,1.570796
0.020000,13.187500,-29.265500,5.735870,15.750000,-0.000000,-0.000000,1.570796
0.020000,13.187500,-28.950500,6.050870,15.750000,0.000000,0.000000,1.570796
0.020000,13.187500,-28.635500,6.365870,15.750000,0.000000,-0.000000,1.570796
0.020000,13.187500,-28.320500,6.680870,15.750000,-0.000000,-0.000000,1.570796
0.020000,13.187500,-28.005500,6.995870,15.750000,0.000000,0.000000,1.570796
0.020000,13.187500,-27.690500,7.310870,15.750000,0.000000,-0.000000,1.570796
0.020000,13.187500,-27.375500,7.625870,15.750000,-0.000000,-0.000000,1.570796
0.020000,13.187500,-27.060500,7.940870,15.750000,0.000000,0.000000,1.570796
