dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,50.786738,20.682477,0.001196,0.119565,5.978261,298.913043,3.106564
0.020000,50.786163,20.682498,0.001771,0.028762,-4.540174,-525.921725,3.106634
0.020000,50.777643,20.682795,0.010297,0.426302,19.877035,1220.860456,3.106792
0.020000,50.756232,20.683537,0.031720,1.071160,32.242893,618.292861,3.107072
0.020000,50.724129,20.684639,0.063842,1.606096,26.746787,-274.805310,3.107491
0.020000,50.681348,20.686087,0.106647,2.140258,26.708105,-1.934054,3.108046
0.020000,50.627910,20.687862,0.160115,2.673388,26.656505,-2.580011,3.108735
0.020000,50.563839,20.689941,0.224220,3.205228,26.591965,-3.227001,3.109555
0.020000,50.489166,20.692299,0.298930,3.735517,26.514461,-3.875211,3.110502
0.020000,50.403926,20.694904,0.384210,4.263996,26.423965,-4.524784,3.111571
0.020000,50.308160,20.697723,0.480018,4.790405,26.320453,-5.175610,3.112759
0.020000,50.201912,20.700718,0.586308,5.314483,26.203884,-5.828446,3.114058
0.020000,50.085235,20.703849,0.703027,5.835968,26.074236,-6.482426,3.115463
0.020000,49.958184,20.707074,0.830119,6.354597,25.931481,-7.137725,3.116966
0.020000,49.820821,20.710348,0.967521,6.870109,25.775594,-7.794374,3.118561
0.020000,49.673212,20.713624,1.115166,7.382240,25.606552,-8.452094,3.120238
0.020000,49.515431,20.716855,1.272980,7.890727,25.424339,-9.110648,3.121989
0.020000,49.347554,20.719993,1.440886,8.395306,25.228944,-9.769759,3.123804
0.020000,49.169665,20.722991,1.618801,8.895713,25.020361,-10.429116,3.125674
0.020000,48.981852,20.725800,1.806634,9.391685,24.798593,-11.088392,3.127586
0.020000,48.784210,20.728375,2.004294,9.882958,24.563649,-11.747244,3.129531
0.020000,48.576837,20.730672,2.211679,10.369269,24.315544,-12.405217,3.131495
0.020000,48.359839,20.732648,2.428686,10.850354,24.054291,-13.062676,3.133466
0.020000,48.134610,20.734256,2.653920,11.261720,20.568266,-174.301225,3.135419
0.020000,47.903811,20.735460,2.884723,11.540105,13.919280,-332.449293,3.137323
0.020000,47.670066,20.736242,3.118469,11.687333,7.361373,-327.895389,3.139148
0.020000,47.435960,20.736611,3.352576,11.705334,0.900050,-323.066143,3.140871
0.020000,47.202773,20.736589,3.585763,11.659337,-2.299838,-159.994363,3.142481
0.020000,46.970507,20.736207,3.818029,11.613335,-2.300093,-0.012793,3.143980
0.020000,46.739161,20.735492,4.049376,11.567330,-2.300246,-0.007620,3.145365
0.020000,46.508737,20.734474,4.279802,11.521324,-2.300313,-0.003377,3.146639
0.020000,46.279234,20.733181,4.509309,11.475318,-2.300313,0.000008,3.147800
0.020000,46.050653,20.731640,4.737895,11.429313,-2.300262,0.002565,3.148849
0.020000,45.822994,20.729879,4.965561,11.383309,-2.300172,0.004493,3.149785
0.020000,45.596256,20.727926,5.192307,11.337308,-2.300057,0.005731,3.150609
0.020000,45.370440,20.725808,5.418134,11.291309,-2.299930,0.006352,3.151321
0.020000,45.145545,20.723551,5.643040,11.245313,-2.299801,0.006485,3.151920
0.020000,44.921571,20.721181,5.867026,11.199320,-2.299677,0.006177,3.152407
0.020000,44.698518,20.718725,6.090093,11.153328,-2.299567,0.005491,3.152781
0.020000,44.476385,20.716208,6.312240,11.107339,-2.299477,0.004516,3.153043
0.020000,44.255173,20.713656,6.533467,11.061351,-2.299410,0.003336,3.153193
0.020000,44.034881,20.711095,6.753774,11.015363,-2.299372,0.001932,3.153231
0.020000,43.815508,20.708547,6.973161,10.969376,-2.299362,0.000465,3.153156
0.020000,43.597054,20.706040,7.191629,10.923388,-2.299383,-0.001026,3.152969
0.020000,43.379520,20.703595,7.409177,10.877400,-2.299432,-0.002469,3.152669
0.020000,43.162905,20.701238,7.625805,10.831410,-2.299508,-0.003762,3.152258
0.020000,42.947208,20.698992,7.841514,10.785417,-2.299607,-0.004953,3.151733
0.020000,42.732430,20.696881,8.056302,10.739423,-2.299723,-0.005832,3.151097
0.020000,42.518571,20.694926,8.270171,10.693426,-2.299851,-0.006389,3.150348
0.020000,42.305629,20.693151,8.483119,10.647426,-2.299982,-0.006555,3.149487
0.020000,42.093607,20.691579,8.695148,10.601424,-2.300107,-0.006256,3.148513
0.020000,41.882503,20.690230,8.906256,10.555420,-2.300215,-0.005398,3.147427
0.020000,41.672317,20.689128,9.116444,10.509414,-2.300295,-0.003994,3.146229
0.020000,41.463051,20.688293,9.325712,10.463407,-2.300333,-0.001911,3.144918
0.020000,41.254703,20.687746,9.534061,10.417401,-2.300314,0.000972,3.143495
0.020000,41.047276,20.687509,9.741488,10.371397,-2.300221,0.004640,3.141959
0.020000,40.928183,20.687468,9.860581,5.954617,-220.838996,-10926.938727,3.142481
0.020000,40.683199,20.686877,10.105566,12.249268,314.732549,26778.577253,3.145533
0.020000,40.437917,20.685532,10.350852,12.264284,0.750799,-15699.087518,3.148623
0.020000,40.192335,20.683423,10.596442,12.279518,0.761703,0.545173,3.151749
0.020000,39.946434,20.680537,10.842360,12.295911,0.819676,2.898659,3.154915
0.020000,39.700212,20.676862,11.088610,12.312488,0.828859,0.459140,3.158120
0.020000,39.453682,20.672388,11.335180,12.328509,0.801024,-1.391704,3.161364
0.020000,39.206844,20.667103,11.582075,12.344752,0.812135,0.555506,3.164649
0.020000,38.959695,20.660993,11.829300,12.361218,0.823303,0.558409,3.167974
0.020000,38.712234,20.654047,12.076858,12.377908,0.834531,0.561421,3.171342
0.020000,38.464441,20.646251,12.324773,12.395774,0.893308,2.938835,3.174752
0.020000,38.216300,20.637592,12.573066,12.414615,0.942007,2.434977,3.178205
0.020000,37.967841,20.628056,12.821708,12.432111,0.874827,-3.359019,3.181703
0.020000,37.719062,20.617632,13.070705,12.449837,0.886298,0.573525,3.185245
0.020000,37.469964,20.606304,13.320061,12.467794,0.897839,0.577047,3.188833
0.020000,37.220490,20.594057,13.569834,12.488696,1.045121,7.364135,3.192468
0.020000,36.970683,20.580876,13.819989,12.507724,0.951378,-4.687162,3.196150
0.020000,36.720552,20.566749,14.070519,12.526504,0.939030,-0.617406,3.199880
0.020000,36.470086,20.551660,14.321439,12.545983,0.973940,1.745518,3.203658
0.020000,36.219230,20.535589,14.572809,12.568515,1.126613,7.633657,3.207487
0.020000,35.968047,20.518525,14.824572,12.588131,0.980767,-7.292330,3.211366
0.020000,35.716535,20.500452,15.076731,12.607987,0.992798,0.601577,3.215297
0.020000,35.464622,20.481347,15.329368,12.631855,1.193400,10.030084,3.219281
0.020000,35.212371,20.461200,15.582422,12.652703,1.042427,-7.548650,3.223318
0.020000,34.959788,20.439992,15.835894,12.673571,1.043406,0.048927,3.227409
0.020000,34.706790,20.417700,16.089873,12.698933,1.268070,11.233226,3.231556
0.020000,34.453462,20.394312,16.344278,12.720251,1.065927,-10.107139,3.235759
0.020000,34.199765,20.369807,16.599156,12.743920,1.183406,5.873943,3.240019
0.020000,33.945683,20.344164,16.854528,12.768616,1.234820,2.570700,3.244339
0.020000,33.691271,20.317370,17.110347,12.790953,1.116833,-5.899366,3.248716
0.020000,33.436432,20.289395,17.366718,12.818508,1.377774,13.047055,3.253156
0.020000,33.181267,20.260229,17.623544,12.841318,1.140483,-11.864534,3.257656
0.020000,32.925691,20.229842,17.880920,12.868810,1.374591,11.705391,3.262219
0.020000,32.669769,20.198221,18.138787,12.893366,1.227847,-7.337179,3.266845
0.020000,32.413447,20.165337,18.397211,12.921170,1.390198,8.117519,3.271537
0.020000,32.156771,20.131175,18.656150,12.946951,1.289031,-5.058352,3.276294
0.020000,31.899692,20.095704,18.915665,12.975736,1.439226,7.509760,3.281119
0.020000,31.642267,20.058911,19.175706,13.002071,1.316781,-6.122227,3.286012
0.020000,31.384424,20.020760,19.436356,13.032497,1.521287,10.225271,3.290975
0.020000,31.126247,19.981240,19.697540,13.059219,1.336080,-9.260328,3.296007
0.020000,30.867646,19.940313,19.959359,13.090949,1.586513,12.521659,3.301113
0.020000,30.608697,19.897965,20.221748,13.119443,1.424723,-8.089500,3.306291
0.020000,30.349370,19.854165,20.484749,13.150020,1.528848,5.206226,3.311543
0.020000,30.089651,19.808884,20.748385,13.181824,1.590210,3.068104,3.316872
0.020000,29.829588,19.762104,21.012622,13.211830,1.500294,-4.495788,3.322276
0.020000,29.569130,19.713788,21.277524,13.245112,1.664069,8.188742,3.327760
0.020000,29.308304,19.663912,21.543076,13.277586,1.623732,-2.016853,3.333323
0.020000,29.047134,19.612452,21.809267,13.309557,1.598555,-1.258834,3.338966
0.020000,28.785588,19.559371,22.076145,13.343923,1.718262,5.985329,3.344691
0.020000,28.523673,19.504641,22.343717,13.378605,1.734093,0.791551,3.350500
0.020000,28.261420,19.448236,22.611967,13.412486,1.694083,-2.000493,3.356394
0.020000,27.998832,19.390127,22.880908,13.447061,1.728745,1.733109,3.362373
0.020000,27.735878,19.330273,23.150588,13.484001,1.846980,5.911717,3.368440
0.020000,27.472585,19.268647,23.420997,13.520434,1.821672,-1.265361,3.374596
0.020000,27.208972,19.205219,23.692133,13.556818,1.819206,-0.123330,3.380842
0.020000,26.945044,19.139957,23.964010,13.593854,1.851767,1.628035,3.387179
0.020000,26.680808,19.072826,24.236641,13.631527,1.883668,1.595063,3.393608
0.020000,26.416264,19.003789,24.510045,13.670180,1.932669,2.450055,3.400131
0.020000,26.151410,18.932810,24.784244,13.709968,1.989393,2.836226,3.406750
0.020000,25.886278,18.859858,25.059229,13.749268,1.965000,-1.219676,3.413465
0.020000,25.620878,18.784898,25.335012,13.789145,1.993846,1.442327,3.420278
0.020000,25.355222,18.707893,25.611604,13.829580,2.021756,1.395471,3.427190
0.020000,25.089323,18.628807,25.889015,13.870554,2.048664,1.345387,3.434202
0.020000,24.823196,18.547602,26.167256,13.912044,2.074503,1.291955,3.441316
0.020000,24.556856,18.464243,26.446336,13.954028,2.099204,1.235058,3.448532
0.020000,24.290320,18.378690,26.726266,13.996482,2.122695,1.174579,3.455852
0.020000,24.023607,18.290906,27.007053,14.039380,2.144903,1.110402,3.463276
0.020000,23.756737,18.200854,27.288707,14.082695,2.165752,1.042414,3.470807
0.020000,23.489732,18.108494,27.571235,14.126398,2.185162,0.970505,3.478444
0.020000,23.222615,18.013789,27.854644,14.170459,2.203053,0.894567,3.486189
0.020000,22.955410,17.916701,28.138941,14.214846,2.219343,0.814501,3.494042
0.020000,22.688143,17.817191,28.424132,14.259525,2.233947,0.730210,3.502005
0.020000,22.420840,17.715219,28.710225,14.304658,2.256646,1.134912,3.510078
0.020000,22.153512,17.610741,28.997244,14.350935,2.313881,2.861779,3.518263
0.020000,21.886210,17.503726,29.285172,14.396401,2.273274,-2.030339,3.526559
0.020000,21.618968,17.394136,29.574012,14.442000,2.279935,0.333032,3.534967
0.020000,21.351820,17.281934,29.863766,14.487689,2.284454,0.225930,3.543487
0.020000,21.084804,17.167084,30.154434,14.533423,2.286739,0.114261,3.552120
0.020000,20.817925,17.049534,30.446054,14.580980,2.377837,4.554882,3.560866
0.020000,20.551254,16.929262,30.738593,14.626947,2.298360,-3.973844,3.569726
0.020000,20.284836,16.806234,31.032045,14.672621,2.283689,-0.733560,3.578698
0.020000,20.018705,16.680411,31.326421,14.718791,2.308498,1.240496,3.587783
0.020000,19.752888,16.551750,31.621739,14.765893,2.355090,2.329599,3.596981
0.020000,19.487464,16.420234,31.917958,14.810991,2.254886,-5.010218,3.606291
0.020000,19.222470,16.285825,32.215091,14.856603,2.280607,1.286064,3.615712
0.020000,18.957941,16.148485,32.513148,14.902858,2.312784,1.608845,3.625245
0.020000,18.693964,16.008203,32.812084,14.946814,2.197791,-5.749641,3.634887
0.020000,18.430559,15.864931,33.111933,14.992437,2.281151,4.168001,3.644639
0.020000,18.167809,15.718659,33.412653,15.036025,2.179388,-5.088197,3.654499
0.020000,17.905764,15.569358,33.714246,15.079623,2.179877,0.024448,3.664464
0.020000,17.644483,15.417005,34.016701,15.122769,2.157324,-1.127643,3.674535
0.020000,17.384040,15.261587,34.319992,15.164567,2.089913,-3.370526,3.684709
0.020000,17.124485,15.103078,34.624121,15.206410,2.092124,0.110559,3.694984
0.020000,16.865900,14.941471,34.929052,15.246557,2.007375,-4.237482,3.705358
0.020000,16.608343,14.776751,35.234778,15.286299,1.987085,-1.014469,3.715828
0.020000,16.351887,14.608908,35.541275,15.324868,1.928453,-2.931618,3.726393
0.020000,16.096614,14.437943,35.848511,15.361785,1.845836,-4.130826,3.737048
0.020000,15.842574,14.263838,36.156486,15.398775,1.849491,0.182747,3.747793
0.020000,15.589869,14.086612,36.465143,15.432812,1.701863,-7.381409,3.758622
0.020000,15.338551,13.906251,36.774482,15.466971,1.707973,0.305512,3.769533
0.020000,15.088708,13.722770,37.084460,15.498896,1.596256,-5.585856,3.780523
0.020000,14.840425,13.536187,37.395037,15.528845,1.497412,-4.942211,3.791587
0.020000,14.593757,13.346496,37.706209,15.558590,1.487279,-0.506656,3.802722
0.020000,14.348799,13.153729,38.017919,15.585531,1.347014,-7.013231,3.813924
0.020000,14.105631,12.957908,38.330131,15.610593,1.253111,-4.695147,3.825187
0.020000,13.864320,12.759049,38.642823,15.634585,1.199615,-2.674829,3.836508
0.020000,13.624947,12.557182,38.955952,15.656453,1.093375,-5.311988,3.847883
0.020000,13.387595,12.352345,39.269470,15.675924,0.973574,-5.990045,3.859305
0.020000,13.152341,12.144574,39.583339,15.693441,0.875862,-4.885599,3.870771
0.020000,12.919250,11.933899,39.897528,15.709466,0.801224,-3.731895,3.882275
0.020000,12.688403,11.720369,40.211989,15.723045,0.678963,-6.113073,3.893812
0.020000,12.459875,11.504032,40.526674,15.734223,0.558888,-6.003720,3.905377
0.020000,12.233738,11.284940,40.841538,15.743231,0.450412,-5.423833,3.916964
0.020000,12.010059,11.063144,41.156539,15.750030,0.339941,-5.523531,3.928567
0.020000,11.788902,10.838697,41.471637,15.754920,0.244501,-4.772012,3.940182
0.020000,11.570336,10.611662,41.786783,15.757260,0.116993,-6.375383,3.951803
0.020000,11.354423,10.382103,42.101926,15.757186,-0.003700,-6.034655,3.963424
0.020000,11.141224,10.150086,42.417023,15.754820,-0.118292,-5.729595,3.975039
0.020000,10.930795,9.915679,42.732026,15.750158,-0.233107,-5.740777,3.986643
0.020000,10.723190,9.678952,43.046890,15.743202,-0.347785,-5.733904,3.998230
0.020000,10.518459,9.439979,43.361569,15.733963,-0.461969,-5.709190,4.009794
0.020000,10.316648,9.198830,43.676022,15.722625,-0.566907,-5.246898,4.021330
0.020000,10.117802,8.955586,43.990199,15.708847,-0.688876,-6.098451,4.032833
0.020000,9.921963,8.710325,44.304055,15.692845,-0.800119,-5.562123,4.044297
