dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.500000,-15.500000,0.001558,0.155797,7.789855,389.492754,4.677442
0.020000,53.500000,-15.500000,0.007790,0.467391,15.579710,389.492754,4.677447
0.020000,53.500000,-15.500000,0.021812,0.934783,23.369565,389.492754,4.677458
0.020000,53.500000,-15.500000,0.045181,1.402174,23.369565,0.000000,4.677476
0.020000,53.499180,-15.523489,0.077899,1.869565,23.369565,-0.000000,4.677500
0.020000,53.497713,-15.565529,0.119964,2.336957,23.369565,0.000000,4.677529
0.020000,53.495922,-15.616911,0.171377,2.804348,23.369565,0.000000,4.677562
0.020000,53.493808,-15.677635,0.232138,3.271739,23.369565,0.000000,4.677599
0.020000,53.491370,-15.747701,0.302246,3.739130,23.369565,-0.000000,4.677636
0.020000,53.488611,-15.827110,0.381703,4.206522,23.369565,0.000000,4.677672
0.020000,53.485530,-15.915861,0.470507,4.673913,23.369565,0.000000,4.677706
0.020000,53.482128,-16.013954,0.568659,5.141304,23.369565,0.000000,4.677734
0.020000,53.478405,-16.121390,0.676159,5.608696,23.369565,0.000000,4.677754
0.020000,53.474359,-16.238168,0.793007,6.076087,23.369565,-0.000000,4.677762
0.020000,53.469990,-16.364288,0.919203,6.543478,23.369565,0.000000,4.677757
0.020000,53.465295,-16.499750,1.054746,7.010870,23.369565,-0.000000,4.677733
0.020000,53.460272,-16.644554,1.199638,7.478261,23.369565,-0.000000,4.677688
0.020000,53.454916,-16.798700,1.353877,7.945652,23.369565,0.000000,4.677618
0.020000,53.449221,-16.962188,1.517464,8.413043,23.369565,0.000000,4.677518
0.020000,53.443181,-17.135017,1.690399,8.880435,23.369565,0.000000,4.677383
0.020000,53.436785,-17.317188,1.872681,9.347826,23.369565,0.000000,4.677209
0.020000,53.430025,-17.508699,2.064312,9.815217,23.369565,0.000000,4.676991
0.020000,53.422886,-17.709551,2.265290,10.282609,23.369565,0.000000,4.676724
0.020000,53.415410,-17.918185,2.474058,10.594203,15.579710,-389.492754,4.676404
0.020000,53.407692,-18.131487,2.687500,10.750000,7.789855,-389.492754,4.676033
0.020000,53.399833,-18.346344,2.902500,10.750000,0.000000,-389.492754,4.675613
0.020000,53.391878,-18.561197,3.117500,10.750000,0.000000,0.000000,4.675147
0.020000,53.383819,-18.776046,3.332500,10.750000,0.000000,0.000000,4.674635
0.020000,53.375644,-18.990890,3.547500,10.750000,0.000000,0.000000,4.674076
0.020000,53.367345,-19.205730,3.762500,10.750000,0.000000,0.000000,4.673472
0.020000,53.358911,-19.420564,3.977500,10.750000,0.000000,0.000000,4.672820
0.020000,53.350332,-19.635393,4.192500,10.750000,0.000000,0.000000,4.672122
0.020000,53.341597,-19.850216,4.407500,10.750000,0.000000,0.000000,4.671377
0.020000,53.332698,-20.065031,4.622500,10.750000,0.000000,0.000000,4.670585
0.020000,53.323623,-20.279840,4.837500,10.750000,0.000000,0.000000,4.669745
0.020000,53.314363,-20.494640,5.052500,10.750000,0.000000,0.000000,4.668857
