dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.979843,8.187475,0.001522,0.152174,7.608696,380.434783,0.002462
0.020000,9.980648,8.187477,0.002326,0.040238,-5.596798,-660.274685,0.002364
0.020000,9.982459,8.187481,0.004137,0.090539,2.515065,405.593134,0.002142
0.020000,9.985678,8.187487,0.007357,0.160972,3.521628,50.328144,0.001749
0.020000,9.990508,8.187494,0.012187,0.241489,4.025865,25.211853,0.001159
0.020000,9.996949,8.187499,0.018627,0.322044,4.027729,0.093246,0.000373
0.020000,10.042829,8.187487,0.064508,2.294027,98.599166,4728.571826,6.282574
0.020000,10.125547,8.187387,0.147226,4.135881,92.092718,-325.322379,6.281393
0.020000,10.222059,8.187148,0.243738,4.825637,34.487791,-2880.246355,6.280013
0.020000,10.332361,8.186711,0.354041,5.515111,34.473693,-0.704917,6.278435
0.020000,10.456500,8.186011,0.478181,6.207049,34.596891,6.159889,6.276656
0.020000,10.594435,8.184974,0.616121,6.896964,34.495749,-5.057114,6.274678
0.020000,10.746184,8.183517,0.767877,7.587803,34.541955,2.310335,6.272498
0.020000,10.911760,8.181551,0.933464,8.279369,34.578305,1.817482,6.270116
0.020000,11.091171,8.178974,1.112894,8.971467,34.604883,1.328897,6.267531
0.020000,11.284421,8.175679,1.306172,9.663903,34.621796,0.845657,6.264741
0.020000,11.491509,8.171548,1.513301,10.356486,34.629173,0.368839,6.261746
0.020000,11.712431,8.166458,1.734282,11.049029,34.627163,-0.100485,6.258545
0.020000,11.947228,8.160271,1.969160,11.743927,34.744900,5.886845,6.255135
0.020000,12.195877,8.152844,2.217920,12.437977,34.702461,-2.121950,6.251517
0.020000,12.458376,8.144025,2.480567,13.132366,34.719482,0.851071,6.247688
0.020000,12.734738,8.133652,2.757124,13.827827,34.773046,2.678167,6.243647
0.020000,13.024974,8.121553,3.047612,14.524387,34.828011,2.748287,6.239394
0.020000,13.327324,8.107631,3.350283,15.133552,30.458229,-218.489105,6.234952
0.020000,13.638339,8.091904,3.661694,15.570592,21.852025,-430.310219,6.230370
0.020000,13.954562,8.074447,3.978399,15.835218,13.231301,-431.036218,6.225701
0.020000,14.272544,8.055397,4.296951,15.927600,4.619098,-430.610145,6.220993
0.020000,14.590524,8.034843,4.615595,15.932206,0.230288,-219.440471,6.216274
0.020000,14.908493,8.012780,4.934328,15.936673,0.223320,-0.348393,6.211543
0.020000,15.226440,7.989205,5.253148,15.940995,0.216131,-0.359487,6.206802
0.020000,15.544355,7.964114,5.572052,15.945170,0.208724,-0.370320,6.202050
0.020000,15.862227,7.937505,5.891036,15.949192,0.201107,-0.380882,6.197288
0.020000,16.180046,7.909374,6.210097,15.953057,0.193283,-0.391166,6.192517
0.020000,16.497800,7.879719,6.529232,15.956763,0.185260,-0.401162,6.187736
0.020000,16.815483,7.848536,6.848441,15.960460,0.184873,-0.019345,6.182947
0.020000,17.133091,7.815823,7.167730,15.964449,0.199454,0.729044,6.178149
0.020000,17.450602,7.781578,7.487082,15.967594,0.157231,-2.111160,6.173343
0.020000,17.768003,7.745800,7.806493,15.970565,0.148568,-0.433134,6.168529
0.020000,18.085284,7.708487,8.125961,15.973360,0.139736,-0.441626,6.163709
0.020000,18.402432,7.669637,8.445480,15.975975,0.130740,-0.449790,6.158882
0.020000,18.719438,7.629250,8.765048,15.978406,0.121587,-0.457621,6.154050
0.020000,19.036290,7.587325,9.084661,15.980652,0.112285,-0.465113,6.149211
0.020000,19.352975,7.543860,9.404315,15.982709,0.102840,-0.472260,6.144368
0.020000,19.669483,7.498857,9.724007,15.984574,0.093259,-0.479057,6.139520
0.020000,19.985802,7.452314,10.043732,15.986245,0.083549,-0.485501,6.134667
0.020000,20.301921,7.404231,10.363486,15.987719,0.073717,-0.491586,6.129812
