dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.020157,-8.187475,0.001522,0.152174,7.608696,380.434783,0.002462
0.020000,10.019352,-8.187477,0.002326,0.040238,-5.596798,-660.274685,0.002364
0.020000,10.017541,-8.187481,0.004137,0.090539,2.515065,405.593134,0.002142
0.020000,10.014322,-8.187487,0.007357,0.160972,3.521628,50.328144,0.001749
0.020000,10.009492,-8.187494,0.012187,0.241489,4.025865,25.211853,0.001159
0.020000,10.003051,-8.187499,0.018627,0.322044,4.027729,0.093246,0.000373
0.020000,10.032819,-8.187510,0.048395,1.488402,58.317933,2714.510187,6.282574
0.020000,10.096192,-8.187586,0.111768,3.168621,84.010920,1284.649337,6.281393
0.020000,10.170113,-8.187770,0.185689,3.696063,26.372118,-2881.940099,6.280013
0.020000,10.254569,-8.188104,0.270146,4.222835,26.338617,-1.675037,6.278435
0.020000,10.349587,-8.188640,0.365165,4.750980,26.407233,3.430778,6.276656
0.020000,10.455124,-8.189434,0.470706,5.277005,26.301231,-5.300102,6.274678
0.020000,10.571181,-8.190547,0.586768,5.803111,26.305291,0.203025,6.272498
0.020000,10.697754,-8.192051,0.713350,6.329094,26.299176,-0.305784,6.270116
0.020000,10.834835,-8.194020,0.850445,6.854757,26.283124,-0.802591,6.267531
0.020000,10.982411,-8.196536,0.998043,7.379905,26.257416,-1.285371,6.264741
0.020000,11.140467,-8.199688,1.156130,7.904352,26.222375,-1.752064,6.261746
0.020000,11.308981,-8.203571,1.324688,8.427920,26.178364,-2.200577,6.258545
0.020000,11.487966,-8.208288,1.503736,8.952401,26.224064,2.285040,6.255135
0.020000,11.677388,-8.213945,1.693243,9.475326,26.146279,-3.889278,6.251517
0.020000,11.877227,-8.220659,1.893194,9.997584,26.112859,-1.670978,6.247688
0.020000,12.087474,-8.228550,2.103589,10.519715,26.106557,-0.315095,6.243647
0.020000,12.308117,-8.237749,2.324423,11.041733,26.100928,-0.281456,6.239394
0.020000,12.537802,-8.248324,2.554352,11.496437,22.735199,-168.286474,6.234952
0.020000,12.773895,-8.260263,2.790747,11.819741,16.165191,-328.500398,6.230370
0.020000,13.013767,-8.273505,3.030984,12.011833,9.604575,-328.030784,6.225701
0.020000,13.254799,-8.287945,3.272449,12.073246,3.070673,-326.695095,6.220993
0.020000,13.495663,-8.303514,3.513815,12.068330,-0.245830,-165.825149,6.216274
0.020000,13.736356,-8.320215,3.755087,12.063590,-0.236993,0.441821,6.211543
0.020000,13.976877,-8.338049,3.996268,12.059028,-0.228064,0.446468,6.206802
0.020000,14.217222,-8.357018,4.237360,12.054648,-0.219042,0.451099,6.202050
0.020000,14.457391,-8.377122,4.478369,12.050449,-0.209928,0.455704,6.197288
0.020000,14.697382,-8.398364,4.719298,12.046435,-0.200722,0.460272,6.192517
0.020000,14.937192,-8.420745,4.960150,12.042606,-0.191427,0.464794,6.187736
0.020000,15.176822,-8.444266,5.200932,12.039083,-0.176136,0.764511,6.182947
0.020000,15.416277,-8.468930,5.441654,12.036096,-0.149346,1.339520,6.178149
0.020000,15.655545,-8.494736,5.682310,12.032793,-0.165159,-0.790674,6.173343
0.020000,15.894625,-8.521685,5.922903,12.029684,-0.155435,0.486229,6.168529
0.020000,16.133514,-8.549780,6.163439,12.026772,-0.145629,0.490312,6.163709
0.020000,16.372211,-8.579019,6.403920,12.024057,-0.135743,0.494286,6.158882
0.020000,16.610714,-8.609405,6.644351,12.021541,-0.125780,0.498142,6.154050
0.020000,16.849021,-8.640937,6.884735,12.019227,-0.115743,0.501870,6.149211
0.020000,17.087131,-8.673617,7.125078,12.017114,-0.105633,0.505460,6.144368
0.020000,17.325043,-8.707445,7.365382,12.015205,-0.095455,0.508904,6.139520
0.020000,17.562753,-8.742422,7.605652,12.013501,-0.085212,0.512192,6.134667
0.020000,17.800261,-8.778547,7.845892,12.012002,-0.074905,0.515314,6.129812
0.020000,18.037566,-8.815822,8.086106,12.010712,-0.064540,0.518263,6.124953
0.020000,18.274665,-8.854247,8.326299,12.009629,-0.054119,0.521029,6.120091
0.020000,18.511558,-8.893821,8.566474,12.008756,-0.043647,0.523606,6.115227
0.020000,18.748244,-8.934544,8.806638,12.008194,-0.028107,0.777023,6.110362
0.020000,18.984722,-8.976418,9.046794,12.007837,-0.017861,0.512272,6.105495
0.020000,19.220988,-9.019442,9.286946,12.007575,-0.013088,0.238649,6.100628
0.020000,19.457041,-9.063614,9.527096,12.007527,-0.002391,0.534858,6.095761
0.020000,19.692880,-9.108936,9.767250,12.007694,0.008335,0.536300,6.090894
0.020000,19.928502,-9.155406,10.007412,12.008076,0.019085,0.537510,6.086028
0.020000,20.163908,-9.203025,10.247585,12.008673,0.029855,0.538482,6.081164
0.020000,20.399095,-9.251791,10.487775,12.009486,0.040639,0.539211,6.076302
0.020000,20.634062,-9.301704,10.727985,12.010514,0.051433,0.539694,6.071442
0.020000,20.868809,-9.352763,10.968220,12.011759,0.062231,0.539925,6.066585
0.020000,21.103333,-9.404968,11.208485,12.013220,0.073029,0.539900,6.061732
0.020000,21.337634,-9.458317,11.448783,12.014896,0.083822,0.539618,6.056883
0.020000,21.571711,-9.512810,11.689119,12.016788,0.094603,0.539075,6.052039
0.020000,21.805562,-9.568445,11.929496,12.018895,0.105368,0.538269,6.047199
0.020000,22.039186,-9.625221,12.169921,12.021218,0.116112,0.537199,6.042366
0.020000,22.272582,-9.683138,12.410396,12.023754,0.126830,0.535863,6.037538
0.020000,22.505750,-9.742194,12.650926,12.026504,0.137515,0.534260,6.032718
0.020000,22.738688,-9.802386,12.891515,12.029468,0.148163,0.532391,6.027904
0.020000,22.971395,-9.863715,13.132168,12.032643,0.158768,0.530255,6.023098
0.020000,23.203870,-9.926178,13.372889,12.036030,0.169325,0.527854,6.018301
0.020000,23.436113,-9.989773,13.613681,12.039626,0.179829,0.525188,6.013512
0.020000,23.668122,-10.054499,13.854550,12.043432,0.190274,0.522260,6.008733
0.020000,23.899897,-10.120354,14.095499,12.047445,0.200655,0.519072,6.003964
0.020000,24.131436,-10.187336,14.336532,12.051664,0.210968,0.515627,5.999204
0.020000,24.362739,-10.255443,14.577654,12.056088,0.221206,0.511927,5.994456
0.020000,24.593806,-10.324673,14.818868,12.060716,0.231366,0.507976,5.989719
0.020000,24.824634,-10.395023,15.060179,12.065544,0.241441,0.503778,5.984994
0.020000,25.055224,-10.466492,15.301591,12.070573,0.251428,0.499339,5.980281
0.020000,25.285575,-10.539076,15.543107,12.075799,0.261321,0.494662,5.975581
0.020000,25.515685,-10.612774,15.784731,12.081222,0.271116,0.489752,5.970894
0.020000,25.745556,-10.687583,16.026468,12.086838,0.280809,0.484616,5.966220
0.020000,25.975184,-10.763500,16.268321,12.092646,0.290394,0.479260,5.961561
0.020000,26.204571,-10.840523,16.510293,12.098643,0.299868,0.473689,5.956917
0.020000,26.433716,-10.918649,16.752390,12.104845,0.310113,0.512265,5.952288
0.020000,26.662619,-10.997874,16.994616,12.111270,0.321218,0.555263,5.947674
0.020000,26.891278,-11.078197,17.236972,12.117819,0.327475,0.312857,5.943076
0.020000,27.119692,-11.159613,17.479463,12.124548,0.336448,0.448623,5.938495
0.020000,27.347862,-11.242120,17.722092,12.131454,0.345291,0.442136,5.933930
0.020000,27.575787,-11.325715,17.964863,12.138534,0.354000,0.435477,5.929383
0.020000,27.803465,-11.410393,18.207779,12.145785,0.362573,0.428654,5.924854
0.020000,28.030898,-11.496152,18.450843,12.153206,0.371007,0.421674,5.920343
0.020000,28.258084,-11.582989,18.694059,12.160792,0.379298,0.414547,5.915850
0.020000,28.485022,-11.670899,18.937429,12.168540,0.387443,0.407280,5.911376
0.020000,28.711714,-11.759879,19.180958,12.176449,0.395441,0.399882,5.906922
0.020000,28.938157,-11.849925,19.424649,12.184515,0.403288,0.392362,5.902487
0.020000,29.164352,-11.941034,19.668503,12.192735,0.410983,0.384728,5.898072
0.020000,29.390299,-12.033201,19.912525,12.201105,0.418522,0.376990,5.893678
0.020000,29.615997,-12.126423,20.156718,12.209623,0.425906,0.369155,5.889305
0.020000,29.841446,-12.220696,20.401084,12.218286,0.433130,0.361233,5.884953
0.020000,30.066646,-12.316015,20.645625,12.227090,0.440195,0.353232,5.880622
0.020000,30.291596,-12.412376,20.890346,12.236032,0.447098,0.345161,5.876313
0.020000,30.516297,-12.509776,21.135248,12.245108,0.453839,0.337028,5.872027
0.020000,30.740748,-12.608209,21.380335,12.254317,0.460415,0.328843,5.867762
0.020000,30.964949,-12.707672,21.625608,12.263653,0.466828,0.320614,5.863521
0.020000,31.188900,-12.808160,21.871070,12.273115,0.473075,0.312349,5.859303
0.020000,31.412601,-12.909668,22.116725,12.282733,0.480920,0.392263,5.855108
0.020000,31.636052,-13.012192,22.362573,12.292436,0.485123,0.210173,5.850937
0.020000,31.859253,-13.115727,22.608618,12.302246,0.490540,0.270844,5.846790
0.020000,32.082203,-13.220268,22.854862,12.312169,0.496124,0.279194,5.842667
0.020000,32.304903,-13.325811,23.101306,12.322200,0.501542,0.270896,5.838568
0.020000,32.527353,-13.432351,23.347952,12.332336,0.506794,0.262608,5.834495
0.020000,32.749553,-13.539882,23.594804,12.342573,0.511881,0.254338,5.830446
0.020000,32.971502,-13.648400,23.841862,12.352909,0.516803,0.246093,5.826423
0.020000,33.193202,-13.757900,24.089129,12.363341,0.521561,0.237880,5.822425
0.020000,33.414652,-13.868376,24.336606,12.373864,0.526155,0.229706,5.818452
0.020000,33.635852,-13.979824,24.584296,12.384475,0.530586,0.221576,5.814506
0.020000,33.856803,-14.092238,24.832199,12.395173,0.534856,0.213499,5.810586
0.020000,34.077504,-14.205613,25.080318,12.405952,0.538966,0.205479,5.806692
0.020000,34.297957,-14.319943,25.328654,12.416810,0.542916,0.197522,5.802825
0.020000,34.518161,-14.435224,25.577209,12.427744,0.546709,0.189635,5.798984
0.020000,34.738117,-14.551449,25.825984,12.438751,0.550345,0.181822,5.795171
0.020000,34.957826,-14.668614,26.074981,12.449828,0.553827,0.174088,5.791384
0.020000,35.177287,-14.786712,26.324200,12.460967,0.556965,0.156889,5.787625
0.020000,35.396500,-14.905738,26.573643,12.472169,0.560083,0.155924,5.783892
0.020000,35.615468,-15.025687,26.823312,12.483431,0.563134,0.152511,5.780188
0.020000,35.834189,-15.146553,27.073207,12.494752,0.566022,0.144427,5.776511
0.020000,36.052665,-15.268330,27.323330,12.506127,0.568765,0.137167,5.772862
0.020000,36.270896,-15.391012,27.573681,12.517554,0.571366,0.130012,5.769241
0.020000,36.488882,-15.514594,27.824261,12.529031,0.573825,0.122965,5.765648
0.020000,36.706625,-15.639069,28.075072,12.540554,0.576145,0.116029,5.762083
0.020000,36.924125,-15.764433,28.326115,12.552120,0.578330,0.109207,5.758546
0.020000,37.141383,-15.890679,28.577389,12.563728,0.580380,0.102502,5.755037
0.020000,37.358400,-16.017800,28.828897,12.575374,0.582298,0.095916,5.751557
0.020000,37.575175,-16.145792,29.080638,12.587056,0.584087,0.089453,5.748106
0.020000,37.791711,-16.274648,29.332613,12.598771,0.585749,0.083113,5.744683
0.020000,38.008008,-16.404362,29.584824,12.610517,0.587287,0.076900,5.741289
